customer_id,age,gender,items_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
1,55,male,blouse,clothing,53,kentucky,l,gray,winter,3.1,yes,express,yes,yes,14,venmo,fortnightly
2,19,male,sweater,clothing,64,maine,l,maroon,winter,3.1,yes,express,yes,yes,2,cash,fortnightly
3,50,male,jeans,clothing,73,massachusetts,s,maroon,spring,3.1,yes,free shipping,yes,yes,23,credit card,weekly
4,21,male,sandals,footwear,90,rhode island,m,maroon,spring,3.5,yes,next day air,yes,yes,49,paypal,weekly
5,45,male,blouse,clothing,49,oregon,m,turquoise,spring,2.7,yes,free shipping,yes,yes,31,paypal,annually
6,46,male,sneakers,footwear,20,wyoming,m,white,summer,2.9,yes,standard,yes,yes,14,venmo,weekly
7,63,male,shirt,clothing,85,montana,m,gray,fall,3.2,yes,free shipping,yes,yes,49,cash,quarterly
8,27,male,shorts,clothing,34,louisiana,l,charcoal,winter,3.2,yes,free shipping,yes,yes,19,credit card,weekly
9,26,male,coat,outerwear,97,west virginia,l,silver,summer,2.6,yes,express,yes,yes,8,venmo,annually
10,57,male,handbag,accessories,31,missouri,m,pink,spring,4.8,yes,2-day shipping,yes,yes,4,cash,quarterly
11,53,male,shoes,footwear,34,arkansas,l,purple,fall,4.1,yes,store pickup,yes,yes,26,bank transfer,bi-weekly
12,30,male,shorts,clothing,68,hawaii,s,olive,winter,4.9,yes,store pickup,yes,yes,10,bank transfer,fortnightly
13,61,male,coat,outerwear,72,delaware,m,gold,winter,4.5,yes,express,yes,yes,37,venmo,fortnightly
14,65,male,dress,clothing,51,new hampshire,m,violet,spring,4.7,yes,express,yes,yes,31,paypal,weekly
15,64,male,coat,outerwear,53,new york,l,teal,winter,4.7,yes,free shipping,yes,yes,34,debit card,weekly
16,64,male,skirt,clothing,81,rhode island,m,teal,winter,2.8,yes,store pickup,yes,yes,8,paypal,monthly
17,25,male,sunglasses,accessories,36,alabama,s,gray,spring,4.1,yes,next day air,yes,yes,44,debit card,bi-weekly
18,53,male,dress,clothing,38,mississippi,xl,lavender,winter,4.7,yes,2-day shipping,yes,yes,36,venmo,quarterly
19,52,male,sweater,clothing,48,montana,s,black,summer,4.6,yes,free shipping,yes,yes,17,cash,weekly
20,66,male,pants,clothing,90,rhode island,m,green,summer,3.3,yes,standard,yes,yes,46,debit card,bi-weekly
21,21,male,pants,clothing,51,louisiana,m,black,winter,2.8,yes,express,yes,yes,50,cash,every 3 months
22,31,male,pants,clothing,62,north carolina,m,charcoal,winter,4.1,yes,store pickup,yes,yes,22,debit card,quarterly
23,56,male,pants,clothing,37,california,m,peach,summer,3.2,yes,store pickup,yes,yes,32,debit card,annually
24,31,male,pants,clothing,88,oklahoma,xl,white,winter,4.4,yes,express,yes,yes,40,credit card,weekly
25,18,male,jacket,outerwear,22,florida,m,green,fall,2.9,yes,store pickup,yes,yes,16,debit card,weekly
26,18,male,hoodie,clothing,25,texas,m,silver,summer,3.6,yes,express,yes,yes,14,paypal,annually
27,38,male,jewelry,accessories,20,nevada,m,red,spring,3.6,yes,next day air,yes,yes,13,credit card,annually
28,56,male,shorts,clothing,56,kentucky,l,cyan,summer,5,yes,next day air,yes,yes,7,bank transfer,every 3 months
29,54,male,handbag,accessories,94,north carolina,m,gray,fall,4.4,yes,free shipping,yes,yes,41,paypal,every 3 months
30,31,male,dress,clothing,48,wyoming,s,black,fall,4.1,yes,store pickup,yes,yes,14,credit card,weekly
31,57,male,jewelry,accessories,31,north carolina,l,black,winter,4.7,yes,standard,yes,yes,16,credit card,monthly
32,33,male,dress,clothing,79,west virginia,l,brown,winter,4.7,yes,store pickup,yes,yes,45,venmo,monthly
33,36,male,jacket,outerwear,67,kansas,m,silver,summer,4.9,yes,free shipping,yes,yes,37,venmo,annually
34,54,male,pants,clothing,38,colorado,l,green,summer,3.3,yes,store pickup,yes,yes,45,cash,quarterly
35,36,male,t-shirt,clothing,91,north dakota,l,violet,spring,4.6,yes,2-day shipping,yes,yes,38,paypal,quarterly
36,54,male,blouse,clothing,33,massachusetts,m,cyan,summer,4,yes,2-day shipping,yes,yes,48,credit card,bi-weekly
